"countofbarcode","barcode","location1","itemno1","location2","itemno2","location3","itemno3","location4","itemno4"
2,"C044805293","nbmau","i199984931","ma","i127679923","","","",""
2,"C044805381","ma","i127680007","nbmau","i199985005","","","",""
2,"C044805497","nbmau","i199984992","ma","i127679984","","","",""
2,"C044805512","nbmau","i199984906","ma","i127679868","","","",""
2,"C044805576","nbmau","i199984785","ma","i127679790","","","",""
2,"C046433943","ma","i290563537","zw","i130247017","","","",""
2,"C046699565","ah9d","i210331720","ah9d","i100954194","","","",""
2,"C048289330","tb","i143663525","nbtbr","i143663550","","","",""
2,"C048289349","tb","i143663537","nbtbr","i143663562","","","",""
2,"C049190189","ma","i179623941","nbmau","i17962393x","","","",""
2,"C050232277","nbtbr","i19979845x","tb","i149273290","","","",""
2,"C051726411","ma","i150139329","ma","i220119818","","","",""
3,"C051727187","ma","i14542957x","ma","i220108985","ma","i220109631","",""
2,"C051727202","ma","i14677937x","ma","i220063801","","","",""
4,"C051727211","ma","i220018388","ma","i22001842x","ma","i220018418","ma","i220018431"
2,"C051750185","ma","i145378238","ma","i220056171","","","",""
2,"C051750255","ma","i145344125","ma","i220056870","","","",""
2,"C054824572","ma","i100023204","nbmau","i118707279","","","",""
2,"C055378815","tb","i258564106","tbo","i11149865x","","","",""
2,"C056538313","nbmau","i179630696","ma","i179630702","","","",""
2,"C056940467","nbmau","i179617011","ma","i179617023","","","",""
2,"C058501364","ma","i221018347","ma","i221971427","","","",""
2,"C058517227","ma","i261555844","ma","i263878703","","","",""
2,"C058916252","zw","i135792204","zw","i100893661","","","",""
2,"C059254548","ea","i180897640","ea","i301820399","","","",""
2,"C059371093","es","i117694125","es","i199914564","","","",""
2,"C059374679","es","i20054309x","es","i117694137","","","",""
2,"C061048241","ma","i220119946","ma","i145373666","","","",""
2,"C061048278","nbmab","i133515199","ma","i145643517","","","",""
3,"C061294685","ma","i165694506","ma","i160415573","ma","i162883687","",""
2,"C061434634","ma","i160414301","ma","i163169044","","","",""
2,"C061953143","es","i117694149","es","i200966467","","","",""
2,"C064036778","ear","i221879882","ea","i170695979","","","",""
2,"C065083249","es","i201904512","es","i117694150","","","",""
2,"C067514378","ea","i142430420","ea","i132794147","","","",""
2,"C067514402","ea","i132794111","ea","i201926684","","","",""
2,"C067545536","ea","i137020752","ea","i167288568","","","",""
2,"C067779923","eav","i318376325","eav","i168880611","","","",""
2,"C067779932","eav","i134479178","eav","i16888060x","","","",""
2,"C068006851","ea","i281827448","ea","i278654940","","","",""
2,"C071333688","ea","i222130714","ea","i222135050","","","",""
2,"C071339150","ea","i226071406","ea","i226071170","","","",""
2,"C071739471","nbmau","i129955280","ma","i129856393","","","",""
2,"C072002514","ea","i219636576","ea","i219636588","","","",""
2,"C072019213","ea","i219798072","ea","i219798163","","","",""
2,"C073404810","tm","i320660564","tm","i320660576","","","",""
2,"C073784815","dr","i146165044","dr","i150134940","","","",""
2,"C074057930","tb","i130066783","tb9p","i318393979","","","",""
2,"C075243401","bis","i320411680","bis","i320411710","","","",""
2,"C079263353","bic","i170430601","bic","i220480448","","","",""
2,"C079450276","ea","i137393350","ea","i144021018","","","",""
2,"C079450285","ea","i301244236","ea","i14402102x","","","",""
2,"C079450294","ea","i301217919","ea","i301244327","","","",""
2,"C079503989","ea","i140612051","ea","i302021437","","","",""
2,"C079508147","ea","i184905114","ea","i216791625","","","",""
2,"C079524136","ea","i132793933","ea","i142429855","","","",""
2,"C080760737","ea","i198221800","ea","i142059043","","","",""
2,"C082130229","ea","i158940921","ea","i226563030","","","",""
2,"C082426169","ea","i144736810","ea","i212767434","","","",""
2,"C085182374","ea","i232783561","ea","i232783585","","","",""
2,"C085903765","ea","i221440859","ea","i221440860","","","",""
2,"C085960507","ea","i221404429","ea","i228732785","","","",""
2,"C085960516","ea","i228732797","ea","i221404430","","","",""
2,"C085960525","ea","i228732803","ea","i221404442","","","",""
2,"C085960534","ea","i228732815","ea","i221404454","","","",""
2,"C085960543","ea","i221404387","ea","i228732748","","","",""
2,"C085960552","ea","i22873275x","ea","i221404399","","","",""
2,"C085960561","ea","i228732761","ea","i221404405","","","",""
2,"C085960570","ea","i221404417","ea","i228732773","","","",""
2,"C087415919","ea","i198221708","ea","i142059092","","","",""
2,"C087446849","ea","i143956462","ea","i212737302","","","",""
2,"C087453238","ea","i132066373","ea","i128589759","","","",""
2,"C088099783","ea","i213377147","ea","i285235564","","","",""
2,"C088100597","ear","i189022711","ear","i139960582","","","",""
2,"C088100649","ear","i189547042","ear","i139656030","","","",""
2,"C088100658","ear","i139961148","ear","i189046430","","","",""
2,"C088100667","ear","i139655918","ear","i189541787","","","",""
2,"C088100676","ear","i13965592x","ear","i18954174x","","","",""
2,"C088100816","ear","i189546840","ear","i139656042","","","",""
2,"C088104715","ea","i28523559x","ea","i212737247","","","",""
2,"C088124515","ea","i18490402x","ea","i184903890","","","",""
2,"C088132670","ear","i139960971","ear","i189032133","","","",""
2,"C088134012","ea","i188867211","ear","i139957388","","","",""
2,"C088190498","tm","i320777066","tm","i207043152","","","",""
2,"C088492741","ma","i119081490","ma","i221417680","","","",""
2,"C091285393","dn","i13225878x","dn","i100491042","","","",""
2,"C091398460","ea","i226072587","ea","i226072617","","","",""
2,"C091471328","ea","i221313370","ea","i221309858","","","",""
2,"C091471337","ea","i221313382","ea","i22130986x","","","",""
2,"C091499537","ea","i221881050","ea","i221881104","","","",""
2,"C091753862","dn","i117586225","dn","i298327326","","","",""
2,"C092144074","ma","i315168833","ma","i315798427","","","",""
2,"C092549845","es9b","i225666145","es9b","i225666200","","","",""
2,"C092572047","es9d","i234088783","dn","i114671862","","","",""
2,"C092712218","ma","i221069379","ma","i188621544","","","",""
3,"C092755564","ma","i132290650","ma","i132202670","ma","i132202682","",""
